,nama,tahun
0,The Shawshank Redemption,(1994)
1,The Godfather,(1972)
2,The Dark Knight,(2008)
3,The Godfather Part II,(1974)
4,12 Angry Men,(1957)
5,Schindler's List,(1993)
6,The Lord of the Rings: The Return of the King,(2003)
7,Pulp Fiction,(1994)
8,The Lord of the Rings: The Fellowship of the Ring,(2001)
9,"Il buono, il brutto, il cattivo",(1966)
10,Forrest Gump,(1994)
11,Fight Club,(1999)
12,Inception,(2010)
13,The Lord of the Rings: The Two Towers,(2002)
14,The Empire Strikes Back,(1980)
15,The Matrix,(1999)
16,Goodfellas,(1990)
17,One Flew Over the Cuckoo's Nest,(1975)
18,Se7en,(1995)
19,Shichinin no samurai,(1954)
20,It's a Wonderful Life,(1946)
21,The Silence of the Lambs,(1991)
22,Cidade de Deus,(2002)
23,Saving Private Ryan,(1998)
24,La vita è bella,(1997)
25,The Green Mile,(1999)
26,Interstellar,(2014)
27,Star Wars,(1977)
28,Terminator 2: Judgment Day,(1991)
29,Back to the Future,(1985)
30,Sen to Chihiro no kamikakushi,(2001)
31,Psycho,(1960)
32,The Pianist,(2002)
33,Léon,(1994)
34,Gisaengchung,(2019)
35,The Lion King,(1994)
36,Gladiator,(2000)
37,American History X,(1998)
38,The Usual Suspects,(1995)
39,The Departed,(2006)
40,The Prestige,(2006)
41,Casablanca,(1942)
42,Whiplash,(2014)
43,The Intouchables,(2011)
44,Seppuku,(1962)
45,Modern Times,(1936)
46,Top Gun: Maverick,(2022)
47,Hotaru no haka,(1988)
48,Once Upon a Time in the West,(1968)
49,Rear Window,(1954)
50,Alien,(1979)
51,City Lights,(1931)
52,Nuovo Cinema Paradiso,(1988)
53,Memento,(2000)
54,Apocalypse Now,(1979)
55,Raiders of the Lost Ark,(1981)
56,Django Unchained,(2012)
57,WALL·E,(2008)
58,The Lives of Others,(2006)
59,Sunset Blvd.,(1950)
60,Paths of Glory,(1957)
61,The Shining,(1980)
62,The Great Dictator,(1940)
63,Witness for the Prosecution,(1957)
64,Avengers: Infinity War,(2018)
65,Aliens,(1986)
66,American Beauty,(1999)
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964)
68,Spider-Man: Into the Spider-Verse,(2018)
69,The Dark Knight Rises,(2012)
70,Oldeuboi,(2003)
71,Joker,(2019)
72,Amadeus,(1984)
73,Braveheart,(1995)
74,Toy Story,(1995)
75,Coco,(2017)
76,Das Boot,(1981)
77,Inglourious Basterds,(2009)
78,Mononoke-hime,(1997)
79,Avengers: Endgame,(2019)
80,Once Upon a Time in America,(1984)
